velocity_mps, force_N
-0.24973418394471025, -142.56465517241372
-0.22488038277511962, -137.7155172413793
-0.19989367357788412, -132.86637931034477
-0.17477405635300375, -128.9870689655172
-0.1497873471557682, -123.1681034482757
-0.1248006379585327, -118.31896551724128
-0.09994683678894205, -113.46982758620686
-0.0746943115364168, -108.62068965517233
-0.04984051036682616, -103.77155172413791
-0.024853801169590642, -97.9525862068964
-0.012227538543328018, -92.13362068965512
 0.00000000000000000, 0.0000000000000000
0.012759170653907498, 116.37931034482767
0.024853801169590642, 125.10775862068976
0.04997341839447102, 130.9267241379311
0.07482721956406167, 136.7456896551725
0.09994683678894205, 141.59482758620697
0.12493354598617758, 146.44396551724145
0.1497873471557682, 152.2629310344828
0.17477405635300375, 159.0517241379311
0.200026581605529, 164.87068965517244
0.2250132908027645, 171.65948275862075
0.24973418394471025, 177.4784482758621
