velocity_mps, force_N
-0.24986730360934187, -193.54838709677426
-0.22492038216560511, -169.35483870967732
-0.20010615711252658, -143.22580645161293
-0.17489384288747348, -117.09677419354841
-0.1500796178343949, -93.87096774193549
-0.12473460721868365, -73.54838709677426
-0.09992038216560511, -56.12903225806451
-0.07497346072186836, -40.64516129032256
-0.04962845010615711, -27.096774193548413
-0.025079617834394906, -17.419354838709637
 0.00000000000000000, 0.0000000000000000
0.012340764331210195, 20.322580645161338
0.024814225053078558, 24.193548387096826
0.05002653927813163, 36.774193548387075
0.07470806794055201, 58.064516129032256
0.10005307855626328, 78.38709677419354
0.12486730360934187, 108.38709677419354
0.14994692144373675, 137.4193548387097
0.17489384288747348, 170.32258064516128
0.19984076433121023, 206.1290322580645
0.22492038216560511, 240.96774193548384
0.24986730360934187, 275.80645161290323
