velocity_mps, force_N
-0.2498663816141101, -102.0518358531317
-0.2251469802244789, -89.41684665226774
-0.20029396044895778, -76.78185745140388
-0.175040085515767, -64.14686825053991
-0.15018706574024587, -52.48380129589634
-0.12520042757883484, -42.76457883369335
-0.10008017103153394, -33.04535637149024
-0.07482629609834313, -24.29805615550754
-0.05010689470871192, -17.49460043196541
-0.02512025654730091, -11.663066954643682
 0.00000000000000000, 0.0000000000000000
0.012025654730090856, 21.382289416846675
0.02512025654730091, 23.32613390928725
0.0502405130946018, 30.12958963282938
0.07495991448423303, 38.8768898488122
0.10008017103153394, 48.59611231101513
0.12506680919294494, 62.203023758099334
0.14991982896846606, 75.80993520518359
0.1751737039016569, 92.33261339092871
0.200026723677178, 111.77105831533476
0.225013361838589, 128.29373650107988
0.25, 147.73218142548598
