velocity_mps, force_N
-0.2519996326161161, -212.03374217068222
-0.24660656000253794, -209.89390362839845
-0.23973039242022576, -206.76836148816847
-0.23285422483791363, -205.01933224917855
-0.2259780572556015, -204.00130603938544
-0.2191018896732893, -203.10954664631106
-0.21222572209097718, -201.96496133550158
-0.205349554508665, -200.4699271514387
-0.19847338692635286, -199.36617395705423
-0.19159721934404067, -198.29650111181138
-0.18472105176172854, -196.85290896418974
-0.1778448841794164, -193.57951968324176
-0.17096871659710422, -191.7794381202084
-0.1640925490147921, -189.94681557200227
-0.1572163814324799, -188.22029222395543
-0.15034021385016777, -186.40696043941443
-0.14346404626785558, -185.0951885101722
-0.13658787868554345, -183.49405512595
-0.12971171110323132, -182.0086663237197
-0.12283554352091915, -180.42459784581683
-0.11595937593860699, -179.00895257376123
-0.10908320835629483, -177.51391838969835
-0.10220704077398267, -176.0856599260154
-0.09533087319167052, -174.23448856659252
-0.08845470560935836, -172.6044190368723
-0.08157853802704622, -171.04186717998073
-0.07470237044473406, -169.4140235076062
-0.0678262028624219, -167.6081112475523
-0.060950035280109754, -166.0166232451628
-0.04984051036682616, -164.87068965517233
-0.02472089314194577, -156.14224137931024
-0.011961722488038277, -146.4439655172414
 0.000000000000000000, 0.00000000000000
0.01295168901926412, 156.86068300469793
0.019827856601576273, 165.79415718031265
0.026704024183888432, 170.09324165430002
0.033580191766200584, 172.69060519066744
0.040456359348512744, 175.2273406126581
0.04733252693082489, 177.595978176934
0.05420869451313705, 180.01145000165945
0.06108486209544921, 182.54818542365007
0.06796102967776135, 184.77626862699555
0.07483719726007351, 187.18068919564058
0.08171336484238567, 189.84973947097677
0.08858953242469783, 192.1164042016528
0.09546570000700998, 195.81265231109882
0.10234186758932214, 197.5699525533376
0.1092180351716343, 199.15753293949763
0.11609420275394645, 200.3535602867479
0.12297037033625859, 202.01899621652115
0.12984653791857076, 202.91096438409426
0.1367227055008829, 204.72999153695525
0.14359887308319508, 205.8321371677011
0.1504750406655072, 208.07468844379548
0.16422737583013153, 209.10513673625167
0.1573512082478194, 209.2594628455745
0.17110354341244366, 212.6509628194978
0.17797971099475585, 218.38529091733608
0.18485587857706798, 220.32914606219515
0.19173204615938017, 222.5475838837079
0.1986082137416923, 224.4477241047427
0.20548438132400448, 226.7529703627493
0.21236054890631662, 228.84601822043743
0.21923671648862875, 230.97764760545618
0.22611288407094093, 233.02334540687474
0.23298905165325307, 236.16364790415201
0.2398652192355652, 242.21451744050984
0.24674138681787738, 243.11112875293037
0.2512580851317491, 243.64444529720225
